sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;point_type;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g
21;Lycksele 301;7168150;676423;Lycksele;White;White;N9; 8/2;Quartzite;lanceolate, straight base;Arrow point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;Foliated;Fine;Yes;;16,5;39,7;;4,2
22;Lycksele 401;7182333;648209;Lycksele;Black;Dark;N1; ;Quartzite;triangular, straight base;Arrow point;Point;Surveyed;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;No;Mineral grains;22;45;;
23;Lycksele 401;7182333;648209;Lycksele;Opaque;Light;5Y; 8/3;Quartz;;Arrow point;Point;Surveyed;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;15;32;;
24;;7295916;573443;Sorsele;Opaque;Light;7.5Y; 7/2;Quartzite;lanceolate, straight base;Point;Point;Stray find;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;15;59;;
25;Sorsele 282;7245571;623775;Sorsele;Gray;Dark;N3; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;38;56;20;33
26;;7295916;573443;Sorsele;Translucent;Light;7.5Y; 7/2;Quartzite;lanceolate, straight base;Point fragment;Point fragment;Stray find;No;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;18;50;6;6
27;;7295916;573443;Sorsele;Translucent;Colourless;; ;Quartzite;lanceolate, straight base;Point;Point;Stray find;No;Massive;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;23;44;6;7
28;Sorsele 552;7316830;555778;Sorsele;Black;Dark;N2; ;Quartzite;;Point;Point;Surveyed;Yes;Granular;Medium-grained;Bright vitreous;None;None;Smooth;No;Bands of quartz;15;15;5;2
29;Sorsele 733;7300838;576919;Sorsele;Opaque;Light;2.5Y; 8/1;Quartzite;lanceolate, convex base;Point;Point;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;9;25;5;2
30;Sorsele 733;7300838;576919;Sorsele;Gray;Dark;N3; ;Quartzite;;Preform;Preform;Excavation;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Bands of dark mineral;38;77;20;75
31;Sorsele 733;7300838;576919;Sorsele;Gray;Dark;N1; ;Quartzite;lanceolate, straight base;Point;Point;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Smooth;No;Bands of quartz;17;31;6;5
32;Sorsele 733;7300838;576919;Sorsele;Black;Dark;N1; ;Quartzite;lanceolate;Point;Point;Excavation;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Mineral grains;25;55;9;13
33;Sorsele 334;7267203;584998;Sorsele;Translucent;Light;5Y; 9/1;Brecciated quartz;straight base;Point fragment;Point fragment;Surveyed;No;Massive;Fine-grained;Waxy;None;None;Fine;No;Dark mineral grains;17;25;;
