Sample_ID;Site_ID;Inv.nr;Sub nr.;Fyndlåda;Objekt;Find nr.;Artefact;Type;Skärning;Sweref_N;Sweref_E;Parish;Foto nr.;Material;Color;Hue;Texture_1;Texture_2;Luster;Sedimentary structures;Foliation;Grain size;Layering;Topography;Homogeneity;Inclusion;%-inclusion;Surface;Patina;Max width (mm);Max length (mm);Max height (mm);Weight(g)
466;Lycksele 301;32334;34;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0403;IMG_0404";Quartzite;Gray;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;16,8;40;;4,9
467;Lycksele 301;32334;35;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0405;IMG_0406";Quartzite;White;White;Granular;Fine-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;18;27;;
468;Lycksele 301;32334;36;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0408;IMG_0409";Quartzite;Opaque;Light;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Irregular;Yes;;;;No;15;28;;
469;Lycksele 301;32334;37;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0410;IMG_0411";Quartz;Opaque;Light;Massive;Fine-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;Yes;Bands of quartz;;;Yes;15,2;25,4;;2,2
470;Lycksele 301;32334;38;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0412;IMG_0413";Quartzite;White streaked with gray;Light;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Smooth;No;Bands of dark mineral;;;No;23;40;;
471;Lycksele 301;32334;39;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0414;IMG_0415";Quartzite;Gray;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;Bands of quartz;;;Yes;15,8;37,4;;4,9
472;Lycksele 301;32334;40;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0417;IMG_0418";Slate;Black;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Smooth;Yes;;;;Yes;30;44;;
473;Lycksele 301;32334;41;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0419;IMG_0421;IMG_0422";Quartzite;Black;Dark;Granular;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;Yes;38;70;;
474;Lycksele 301;32334;42;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0423;IMG_0424";Quartzite;White;White;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;Red discoloration;Yes;23;49;;
475;Lycksele 301;32334;43;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0425;IMG_0426";Quartz;White;White;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;16;28;;
476;Lycksele 301;32334;44;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0427;IMG_0428";Quartzite;Dark gray;Dark;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;14;35;;
477;Lycksele 301;32334;45;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0429;IMG_0430";Quartzite;Gray;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;17,5;39,9;;5,6
478;Lycksele 301;32334;46;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0431;IMG_0432";Quartzite;Gray;Dark;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;18;18;;
479;Lycksele 301;32334;47;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0433;IMG_0434";Quartzite;Light gray;Light;Granular;Fine-grained;Dull;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;17;21,8;;2,3
480;Lycksele 301;32334;48;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0435;IMG_0436";Quartzite;Black;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;20;24;;
481;Lycksele 301;32334;49;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0437;IMG_0438";Quartzite;Black;Dark;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;16,7;50,3;;5,3
482;Lycksele 301;32334;50;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0439;IMG_0440";Quartzite;Black streaked with white;Dark;Granular;Medium-grained;Bright vitreous;None;Possible foliation;Granoblastic;Non-foliated;Fine;No;;;;Yes;19,6;38,3;;3,9
483;Lycksele 301;32334;51;;;;Flake;Flake;;7168150;676423;Lycksele;"IMG_0441;IMG_0442";Breccie quartz;Translucent;Translucent;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;;No;10;10;;
484;Lycksele 301;32334;52;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0443;IMG_0444";Quartzite;Opaque;Light;Granular;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Irregular;Yes;;;;Yes;21;33;;10,9
485;Lycksele 301;32334;53;;;;Point;Point;;7168150;676423;Lycksele;"IMG_0445;IMG_0446";Quartzite;White;White;Granular;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;Yes;;;Pink color and possibly charcoal and iron oxide;Yes;20,8;43,6;;8
