reading_no	sample_measurement_id	sample_id	site_id	parish	patina	munsell_hue	munsell_value	hue	color	material	artefact	type	note_measurement	texture_1	texture_2	luster	sedimentary_structures	foliation	topography	homogeneity	inclusion	surface	sample_size	t[1]	t[2]	t[3]
680	55	55	Åsele 115	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Massive	Fine-grained	Waxy	None	None	Smooth	No	Bands of quartz	MV	Medium	-2.1123164859351933	0.6048939598071206	0.17851222772803915
681	56	56	Åsele 115	Åsele	No	N1	 	Dark	Black	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Small	-2.137879208808117	1.239725390468879	-0.44796397613727246
682	57	57	Åsele 115	Åsele	No	MV	 	Translucent	Translucent	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Small	-2.688725418234171	-0.9608576144535063	1.4950083752407448
683	58	58	Åsele 115	Åsele	Yes	7.5Y	 3/4	Light	Dark yellow	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Conchoidal	Yes	MV	MV	Small	-1.6125731699984547	0.6226812190626331	2.1860421794305633
685	60	60	MV	Vännäs	Yes	N3	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Fine	No	Mineral grains	MV	Medium	-1.3131260598706371	1.106429721543689	-0.8858376936893436
686	61	61	MV	Vännäs	Yes	N3	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Large	7.222195589932973	0.14941020604870592	-1.3513840801414363
687	62	62	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Large	-0.5212422691788833	0.934634169685325	-0.1951449401411435
688	63	63	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	MV	Large	-0.5353387397406021	1.1897121623838993	-1.1378904358349795
689	64	64	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Fine	No	Mineral grains	MV	Large	-1.0190408688165293	1.0860868682934242	-0.7539329259979918
690	65	65	MV	Vännäs	Yes	N2	 	Dark	Gray	Quartzite	Point preform	Preform	MV	Granular	Medium-grained	Bright vitreous	None	None	Conchoidal	No	Mineral grains	Iron oxide	Large	0.19361870714192658	0.19575763482480754	-0.6141032763390879
