sample_id;site_id;parish;sweref_x;sweref_y;inv.nr.;sub.nr.;fyndlåda;object;find_nr.;artefact;type;cross_section;photo_nr.;material;color;munsell_hue;munsell_value;texture_1;texture_2;luster;sediment;foliation;homogeneity;inclusion;%-inclusion;surface;patina;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm^2;sample_size;parish_level
49;;Umeå;753262;7095829;27179;28 (29 på lådan?);;;;Arrow point;Point;;"IMG_9408;IMG_9409";Breccie quartz;Opaque;5Y; 5/4;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;2;;No;14;41;;;574;Small;TRUE
50;;Umeå;753262;7095829;27171;(12 på lådan);;;;Point;Point;;"IMG_9410;IMG_9411";Quartzite;White;N9; ;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;Dirt;No;15;22;;;330;Small;TRUE
51;;Umeå;753262;7095829;32327;;;;;Point;Point;;"IMG_9412;IMG_9414";Breccie quartz;Opaque;7.5Y; 5/4;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;10;Dirt or iron oxide;No;15;35;;;525;Small;TRUE
52;;Vännäs;730889;7099679;4923;;;;;Point;Point;;"IMG_9416;IMG_9417;IMG_9418";Quartzite;Gray;N3; ;Granular;Fine-grained;Bright vitreous;Possible bedding;None;No;Bands of dark mineral;;Glue and dirt;No;17;45;7;4;765;Medium;TRUE
53;;Vännäs;730889;7099679;90687;;;;;Point preform;Preform;;"IMG_9419;IMG_9420";Quartzite;Black;N1; ;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;32;94;11;37;3008;Large;TRUE
54;Åsele 115;Åsele;7118200;614649;2550;1;;;;Point;Point;;"IMG_9422;IMG_9423";Quartzite;Gray;N2; ;Massive;Fine-grained;Waxy;None;None;Yes;;;;No;20;44;7;8;880;Medium;
55;Åsele 115;Åsele;7118200;614649;2550;2;;;;Point preform;Preform;;"IMG_9424;IMG_9426;IMG_9427";Quartzite;Black;N1; ;Massive;Fine-grained;Waxy;None;None;No;Bands of quartz;;;No;23;48;9;11;1104;Medium;
56;Åsele 115;Åsele;7118200;614649;2550;4;;;;Point preform;Preform;;"IMG_9428;IMG_9429";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;18;24;7;2;432;Small;
57;Åsele 115;Åsele;7118200;614649;2550;5;;;;Point;Point;;"IMG_9430;IMG_9431";Quartzite;Translucent;; ;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;18;21;6;4;378;Small;
58;Åsele 115;Åsele;7118200;614649;2550;6;;;;Point;Point;;"IMG_9432;IMG_9433";Quartzite;Dark yellow;7.5Y; 3/4;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;Yes;17;12;4;2;204;Small;
