sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g;area_mm2;sample_size;river
377;Vilhelmina 115;7204853;518271;Vilhelmina;Black;Dark;N1; ;Quartzite;Point preform;Preform;Stray find;Yes;Granular;Medium-grained;Bright vitreous;None;None;Smooth;Yes;;29;35;10;13;1015;Medium;Ångermanälven
378;Vilhelmina 444;7144672;586277;Vilhelmina;Dark gray streaked with black;Dark;5Y; 3/1;Quartzite;Point preform;Preform;Excavation;Yes;Massive;Medium-grained;Dull;Possible bedding;None;Smooth;No;;27;61;17;23;1647;Medium;Ångermanälven
379;Tärna 20;7323716;495553;Tärna;White streaked with black;Light;5Y; 9/3;Quartzite;Point preform;Preform;Excavation;No;Massive;Fine-grained;Dull;None;None;Smooth;No;Bands of dark mineral;19;45;9;5;855;Medium;Umeälven
380;Tärna 20;7323716;495553;Tärna;Red;Dark;5YR; 5/6;Quartzite;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;34;37;8;8;1258;Medium;Umeälven
381;Tärna 20;7323716;495553;Tärna;Black and gray;Dark;N1; ;Slate;Flake;Flake;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Smooth;No;;23;45;;;1035;Medium;Umeälven
382;Tärna 20;7323716;495553;Tärna;Yellow;Light;5Y; 8/3;Slate?;Flake;Flake;Excavation;No;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;32;35;;;1120;Medium;Umeälven
383;Tärna 533;7263371;535796;Tärna;White;White;N9; ;Quartzite;Scraper;Scraper;Survey;No;Granular;Massive;Bright vitreous;None;None;Irregular;Yes;;49;49;21;51;2401;Large;Umeälven
384;Vilhelmina 444;7144672;586277;Vilhelmina;Gray streaked with black;Dark;2.5Y; 3/3;Quartzite;Point preform;Preform;Excavation;No;Granular;Medium-grained;Dull;None;None;Fine;No;Bands of dark mineral;21;36;12;8;756;Medium;Ångermanälven
385;Vilhelmina 444;7144672;586277;Vilhelmina;Light gray;Dark;N3; ;Quartzite;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;25;31;9;6;775;Medium;Ångermanälven
386;Vilhelmina 439;7143695;585942;Vilhelmina;Dark gray streaked with black;Dark;N2; ;Quartzite;Spearpoint;Point;Excavation;No;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;No;Bands of dark mineral;26;31;5;4;806;Medium;Ångermanälven
387;Vilhelmina 399;7159767;582529;Vilhelmina;White;White;N9; ;Quartzite;Point fragment;Point fragment;Excavation;Yes;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;13;22;4;1;286;Small;Ångermanälven
388;Vilhelmina 399;7159767;582529;Vilhelmina;Opaque;Light;2.5Y; 9/1;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Waxy;None;None;Smooth;Yes;;19;27;6;4;513;Small;Ångermanälven
389;;7285986;509493;Tärna;Light brown;Light;7.5Y; 7/1;Quartzite;Flake;Flake;Survey;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;114;160;;889;18240;Large;Umeälven
390;Vilhelmina 115;7204853;518271;Vilhelmina;Opaque;Light;7.5Y; 6/2;Quartzite;Point preform;Preform;Stray find;No;Massive;Fine-grained;Dull;None;None;Conchoidal;Yes;;23;34;7;10;782;Medium;Ångermanälven
391;Vilhelmina 115;7204853;518271;Vilhelmina;Black;Dark;N1; ;Quartzite;Arrow point;Point;Stray find;No;Granular;Fine-grained;Dull;None;None;Fine;Yes;;16;30;7;6;480;Small;Ångermanälven
392;Vilhelmina 117;7204780;518625;Vilhelmina;Black;Dark;N1; ;Quartzite;Arrow point fragment;Point fragment;Stray find;No;Granular;Fine-grained;Waxy;None;None;Fine;Yes;;17;21;6;4;357;Small;Ångermanälven
393;Vilhelmina 115;7204853;518271;Vilhelmina;Black;Dark;N1; ;Quartzite;Point preform;Preform;Stray find;No;Massive;Fine-grained;Dull;None;Foliated;Conchoidal;Yes;;35;47;13;22;1645;Medium;Ångermanälven
394;Vilhelmina 399;7159767;582529;Vilhelmina;Light gray;Light;7.5Y; 8/1;Quartzite;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Fine;Yes;;20;37;5;2;740;Medium;Ångermanälven
395;;7201665;548201;Vilhelmina;Gray streaked with black;Dark;N1; ;Quartzite;Point preform;Preform;Unknown;No;Granular;Fine-grained;Waxy;None;None;Conchoidal;No;Bands of dark mineral;18;41;;;738;Medium;Ångermanälven
396;Vilhelmina 458;7138860;592509;Vilhelmina;Light gray;Light;7.5Y; 7/2;Slate;Point;Point;Excavation;Yes;Granular;Fine-grained;Bright vitreous;None;None;Smooth;Yes;;13;26;2;1;338;Small;Ångermanälven
